question,expected_answer,ground_truth_sources,rag_answer,score,reasoning,citation_score,citation_reasoning,contexts,index
what is the treatment of postdural puncture headache?,"bed rest, hydration, oral analgesics, 300 mg of oral caffeine, sphenopalatine ganglion blocks, epidural blood patch",2025_CAS_Revised_Guidelines.md,Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,[],10
how long should a patient be monitored after an epidural blood patch?,usually one to two hours in the supine position,2025_CAS_Revised_Guidelines.md,Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,[],11
what is the recommended fraction of inspired O2( FiO2 ) during one lung ventilation?,.4 to .8,step by step management of onelung ventilation CJA 2014.md,Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,[],12
what is the recommended positive end expiratory pressure (PEEP) during one lung ventilation?,3-10 cm water,step by step management of onelung ventilation CJA 2014.md,Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,[],13
What is the recommended oxygen saturation (SaO2) during one lung ventilation (OLV)?,92-96%,step by step management of onelung ventilation CJA 2014.md,Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,[],14
What is the recommended tidal volume under OLV?,4-6 mL/kg of Ideal body weight (IBW),step by step management of onelung ventilation CJA 2014.md,Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,[],15
What is the recommend respiratory rate under OLV?,14-16 breaths per minute (bpm),step by step management of onelung ventilation CJA 2014.md,Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,[],16
what is the recommend peak and plateau pressure under OLV?,30 cm water  and 20 cm water respectively,step by step management of onelung ventilation CJA 2014.md,Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,[],17
what is the recommended fraction of inspired O2( FiO2 ) during two lung ventilation after one lung ventilation (OLV)?,0.5,step by step management of onelung ventilation CJA 2014.md,Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,[],18
Why don't we increase the respiratory rate to improve minute ventilation when using small tidal volumes?,High respiratory rates may predispose to significant gas trapping during OL\V,step by step management of onelung ventilation CJA 2014.md,Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,[],19
"Instead of increase the respiratory rate during OLV, what technique is usually employed?",Permissive hypercapnea,step by step management of onelung ventilation CJA 2014.md,Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,[],20
what are the independent risk factors for acute lung injury post thoracotomy?,"peak inspiratory pressure more than 40 cm H2o, plateau pressure more than 29 cm H20, excessive perioperative fluids, pneumonectomy, preoperative alcohol abuse",step by step management of onelung ventilation CJA 2014.md,Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,[],21
what are the predictors of hypoxemia under OLV,"Right-sided operation, normal preoperative FEV1, Low PaO2 during two lung ventilation, preferential perfusion to the operative lung, supine position, vasodilator use, excessive volatile anesthesia (much greater than 1 MAC), sepsis",step by step management of onelung ventilation CJA 2014.md,Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,[],22
what is the equation for ideal body weight in men?,50 + (.91 x (height in cm - 152.4)),step by step management of onelung ventilation CJA 2014.md,Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,[],23
what is the equation for ideal body weight in women?,45.5 + (.91 x (height in cm - 152.4)),step by step management of onelung ventilation CJA 2014.md,Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,[],24
What  PaCo2 are we aiming for withi permissive hypercapnea,40 to 60 mmHg,step by step management of onelung ventilation CJA 2014.md,"Error: 1 validation error for Document
page_content
  Input should be a valid string [type=string_type, input_value=None, input_type=NoneType]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type",1,"RAG Error: 1 validation error for Document
page_content
  Input should be a valid string [type=string_type, input_value=None, input_type=NoneType]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type",1,"RAG Error: 1 validation error for Document
page_content
  Input should be a valid string [type=string_type, input_value=None, input_type=NoneType]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type",[],25
In patients with obstructive lung disease what is a reasonable inspiratory to expiratory ratio,a reasonable ratio is anywhere from 1:2 up to 1:6,step by step management of onelung ventilation CJA 2014.md,Error: Error getting collection: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Error getting collection: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,1,RAG Error: Error getting collection: Collection [97fb1fd9-6023-44cf-a64b-25a7a32ab83d] does not exist.,[],26
