question,expected_answer,ground_truth_sources,rag_answer,score,reasoning,citation_score,citation_reasoning,contexts,index
What  PaCo2 are we aiming for withi permissive hypercapnea,40 to 60 mmHg,step by step management of onelung ventilation CJA 2014.md,Error: Error getting collection: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error getting collection: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error getting collection: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],25
In patients with obstructive lung disease what is a reasonable inspiratory to expiratory ratio,a reasonable ratio is anywhere from 1:2 up to 1:6,step by step management of onelung ventilation CJA 2014.md,Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],26
"in patients with restrictive lung disease, what is a reasonable inpiratory to expiratory ratio (I:E)?",1:1 up to 2:1,step by step management of onelung ventilation CJA 2014.md,Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],27
"when reinflating the lungs post OLV, what is the recommended method to do this?",unilateral re-expansion is recommended to target pressure to the atelectatic operative lung.  Minimize recruitment pressure to 20 cm H2O with lung resection and avoid pressure spikes. in addition lower FiO2 is recommended to reduce the chance of ischemic reperfusion injury,step by step management of onelung ventilation CJA 2014.md,Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],28
how much fluid rescucitation is recommend in sepsis induced hypoperfusion or septic shock and in what timeline,30 ml/kg of IV crystalloid fluid should be given within the first 3 hours of resuscitation,2021 Surviving Sepsis Guidelines.md,Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],29
"for adults suspected of having sepsis, is lactate measurement recommended?","yes, it is recommended to measure blood lactate levels",2021 Surviving Sepsis Guidelines.md,Error: Error executing plan: Error sending backfill request to compactor: Error getting collection with segments: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error executing plan: Error sending backfill request to compactor: Error getting collection with segments: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error executing plan: Error sending backfill request to compactor: Error getting collection with segments: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],30
"for adults with septic shock on vasopressors, what is the recommended initial target for mean arterial pressure (MAP)",The initial recommended target MAP is 65 mm Hg,2021 Surviving Sepsis Guidelines.md,Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],31
"In adults with possible septic shock or a high likelihood for sepsis, what is the recommended treatment and in what timeline ",antimicrobials are the recommended treatment ideally within 1 hour of recognition,2021 Surviving Sepsis Guidelines.md,Error: Error getting collection: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error getting collection: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error getting collection: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],32
for adults with sepsis or septic shock at high risk of MRSA what is the recommended antimicrobial treatment,empiric broad spectrum therapy with one or more antimicrobials for patients presenting with sepsis or septic shock to cover all likely pathogens.,2021 Surviving Sepsis Guidelines.md,Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],33
are gelatins recommended for sepsis and septic shock?,gelatins are best avoided in patients with sepsis and septic shock,2021 Surviving Sepsis Guidelines.md,Error: Error getting collection: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error getting collection: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error getting collection: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],34
what is the first-line recommended vasopressor in septic shock,norepinephrine,2021 Surviving Sepsis Guidelines.md,Error: Error executing plan: Error sending backfill request to compactor: Error getting collection with segments: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error executing plan: Error sending backfill request to compactor: Error getting collection with segments: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error executing plan: Error sending backfill request to compactor: Error getting collection with segments: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],35
"for adults with septic shock on norepinephrine with inadequte mean arterial pressure levels, what is the suggested second drug to add",vasopressin the the recommended second drug to add ,2021 Surviving Sepsis Guidelines.md,Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],36
what are the recommended drugs for patients with septic shock and cardiac dysfunction with persistent hypoperfusion despite adequate volume status and arterial blood pressure what is the suggested management?,add dobutamin to norepinephrine or use epinephrine alone,2021 Surviving Sepsis Guidelines.md,Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],37
what tidal volumes are recommended for adults with sepsis-induced ARDS?,a low tidal volume ventilation strategy (6ml/kg) is recommended over >10ml/kg,2021 Surviving Sepsis Guidelines.md,Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],38
"for sepsis-induced moderate to severe ARDS, is it recommended to use prone ventilation?","Yes, prone ventilation is recommended for greater than 12 hours daily.",2021 Surviving Sepsis Guidelines.md,Error: Error executing plan: Error sending backfill request to compactor: Error getting collection with segments: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error executing plan: Error sending backfill request to compactor: Error getting collection with segments: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error executing plan: Error sending backfill request to compactor: Error getting collection with segments: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],39
are steroids recommended for adults with septic shock and ongoing requirements for vasopressor therapy?,"yes, IV corticosteroids are recommended in this scenario",2021 Surviving Sepsis Guidelines.md,Error: Error getting collection: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error getting collection: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error getting collection: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],40
is it recommended to treat hyperglycermia in adults with sepsis or septic shock?,"yes, insulin therapy should be initiated a glucose level of more than 180 mg/dl or 10 mmol/Liter",2021 Surviving Sepsis Guidelines.md,Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],41
is sodium bicarbonate therapy recommended in sepsis?,"yes, in adults with septic shock and hypoperfusion induced lactic acidemia, sodium bicarbonate can be used to improve hemodynamics or to reduce vasopressor requirements",2021 Surviving Sepsis Guidelines.md,Error: Error executing plan: Error sending backfill request to compactor: Error getting collection with segments: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error executing plan: Error sending backfill request to compactor: Error getting collection with segments: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error executing plan: Error sending backfill request to compactor: Error getting collection with segments: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],42
should patients with a recent myocardial infarction wait before undergoing noncardiac surgery?,"Yes, patients with recent myocardial infarction should wait at least 60 days before elective noncardiac surgery.",2014 ACC_AHA Guideline on Cardiac Risk for Non-Cardiac Surgery.md,Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],43
is preoperative echocardiography recommended for patients with suspected moderate or severe valvular disease?,"Yes, echocardiography is recommended for patients with suspected moderate or greater valvular stenosis or regurgitation.",2014 ACC_AHA Guideline on Cardiac Risk for Non-Cardiac Surgery.md,Error: Error getting collection: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error getting collection: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error getting collection: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],44
are perioperative beta-blockers recommended in patients already on chronic therapy?,"Yes, beta-blockers should be continued in patients already on chronic therapy.",2014 ACC_AHA Guideline on Cardiac Risk for Non-Cardiac Surgery.md,Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],45
should statin therapy be continued perioperatively in patients undergoing noncardiac surgery?,"Yes, statin therapy should be continued in the perioperative period.",2014 ACC_AHA Guideline on Cardiac Risk for Non-Cardiac Surgery.md,Error: Error executing plan: Error sending backfill request to compactor: Error getting collection with segments: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error executing plan: Error sending backfill request to compactor: Error getting collection with segments: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error executing plan: Error sending backfill request to compactor: Error getting collection with segments: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],46
is preoperative coronary revascularization recommended solely to reduce perioperative risk?,"No, coronary revascularization should not be performed solely to reduce perioperative cardiac risk.",2014 ACC_AHA Guideline on Cardiac Risk for Non-Cardiac Surgery.md,Error: Error getting collection: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error getting collection: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error getting collection: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],47
should patients with stable heart failure undergo additional preoperative evaluation before noncardiac surgery?,"Yes, patients with stable heart failure should undergo evaluation and optimization before surgery.",2014 ACC_AHA Guideline on Cardiac Risk for Non-Cardiac Surgery.md,Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],48
is exercise stress testing recommended for asymptomatic patients undergoing low-risk noncardiac surgery?,"No, routine stress testing is not recommended for asymptomatic patients undergoing low-risk surgery.",2014 ACC_AHA Guideline on Cardiac Risk for Non-Cardiac Surgery.md,Error: Error getting collection: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error getting collection: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error getting collection: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],49
should patients with atrial fibrillation continue anticoagulation therapy during the perioperative period?,"Yes, anticoagulation should generally be continued or bridged, depending on thromboembolic risk.",2014 ACC_AHA Guideline on Cardiac Risk for Non-Cardiac Surgery.md,Error: Error executing plan: Error sending backfill request to compactor: Error getting collection with segments: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error executing plan: Error sending backfill request to compactor: Error getting collection with segments: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error executing plan: Error sending backfill request to compactor: Error getting collection with segments: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],50
is it recommended to measure preoperative natriuretic peptides in high-risk patients undergoing vascular surgery?,"Yes, measurement of natriuretic peptides may be useful in high-risk vascular surgery patients.",2014 ACC_AHA Guideline on Cardiac Risk for Non-Cardiac Surgery.md,Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],51
should noninvasive pharmacologic stress testing be performed in patients with poor functional capacity undergoing elevated-risk surgery?,"Yes, pharmacologic stress testing is reasonable in patients with poor functional capacity facing elevated-risk surgery.",2014 ACC_AHA Guideline on Cardiac Risk for Non-Cardiac Surgery.md,Error: Error executing plan: Error sending backfill request to compactor: Error getting collection with segments: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error executing plan: Error sending backfill request to compactor: Error getting collection with segments: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error executing plan: Error sending backfill request to compactor: Error getting collection with segments: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],52
is perioperative initiation of alpha-2 agonists recommended to reduce cardiac risk?,"No, initiation of alpha-2 agonists is not recommended to reduce perioperative cardiac risk.",2014 ACC_AHA Guideline on Cardiac Risk for Non-Cardiac Surgery.md,Error: Error getting collection: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error getting collection: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error getting collection: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],53
should calcium channel blockers be continued in patients already receiving them before surgery?,"Yes, calcium channel blockers should be continued perioperatively in patients already taking them.",2014 ACC_AHA Guideline on Cardiac Risk for Non-Cardiac Surgery.md,Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],54
is it recommended to use volatile anesthetics for maintenance in patients undergoing noncardiac surgery?,"Yes, volatile anesthetics can be used for maintenance in noncardiac surgery.",2014 ACC_AHA Guideline on Cardiac Risk for Non-Cardiac Surgery.md,Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],55
should aspirin be continued in patients with prior coronary stents undergoing noncardiac surgery?,"Yes, aspirin should generally be continued in patients with prior coronary stents.",2014 ACC_AHA Guideline on Cardiac Risk for Non-Cardiac Surgery.md,Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],56
is it recommended to perform routine preoperative coronary angiography in patients undergoing noncardiac surgery?,"No, routine preoperative coronary angiography is not recommended before noncardiac surgery.",2014 ACC_AHA Guideline on Cardiac Risk for Non-Cardiac Surgery.md,Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],57
should patients with reduced left ventricular ejection fraction be considered at higher perioperative risk?,"Yes, patients with reduced left ventricular ejection fraction are at increased perioperative risk.",2014 ACC_AHA Guideline on Cardiac Risk for Non-Cardiac Surgery.md,Error: Error getting collection: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error getting collection: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error getting collection: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],58
